Name, FLOPs, Params
cfg_6, 0, 364618
cfg_11, 0, 394722
cfg_30, 0, 436066
cfg_53, 0, 480890
cfg_63, 0, 473834
cfg_72, 0, 490498
cfg_74, 0, 541330
cfg_79, 0, 200658
cfg_89, 0, 588618
cfg_128, 0, 458770
cfg_136, 0, 431274
cfg_141, 0, 442018
cfg_158, 0, 308074
cfg_216, 0, 452018
cfg_238, 0, 499882
cfg_252, 0, 485794
cfg_281, 0, 432498
cfg_296, 0, 383490
cfg_303, 0, 175922
cfg_328, 0, 445466
cfg_348, 0, 401242
cfg_370, 0, 462378
cfg_374, 0, 554418
cfg_435, 0, 436650
cfg_437, 0, 393962
cfg_440, 0, 539778
cfg_441, 0, 437938
cfg_458, 0, 536538
cfg_471, 0, 238914
cfg_480, 0, 338034
cfg_498, 0, 357226
cfg_500, 0, 534234
cfg_520, 0, 494994
cfg_522, 0, 173578
cfg_525, 0, 368018
cfg_550, 0, 562538
cfg_553, 0, 320450
cfg_560, 0, 341602
cfg_561, 0, 357090
cfg_564, 0, 461586
cfg_596, 0, 312386
cfg_612, 0, 323330
cfg_625, 0, 569410
cfg_636, 0, 591506
cfg_646, 0, 467186
cfg_649, 0, 472226
cfg_655, 0, 520650
cfg_679, 0, 526114
cfg_701, 0, 408522
cfg_714, 0, 580562
cfg_736, 0, 568818
cfg_754, 0, 427618
cfg_777, 0, 599922
cfg_784, 0, 344114
cfg_797, 0, 486314
cfg_802, 0, 427042
cfg_804, 0, 482418
cfg_810, 0, 565050
cfg_813, 0, 564410
cfg_835, 0, 564082
cfg_842, 0, 528066
cfg_844, 0, 328482
cfg_854, 0, 304002
cfg_858, 0, 586130
cfg_862, 0, 375930
cfg_871, 0, 364226
cfg_913, 0, 586754
cfg_922, 0, 492642
cfg_927, 0, 580666
cfg_951, 0, 519506
cfg_958, 0, 285474
cfg_981, 0, 252690
cfg_989, 0, 289066
cfg_1000, 0, 332826
cfg_1009, 0, 529042
cfg_1031, 0, 488770
cfg_1066, 0, 562818
cfg_1067, 0, 441250
cfg_1089, 0, 508850
cfg_1116, 0, 423554
cfg_1154, 0, 583546
cfg_1170, 0, 514050
cfg_1173, 0, 184786
cfg_1192, 0, 391210
cfg_1256, 0, 197210
cfg_1261, 0, 83050
cfg_1282, 0, 528914
cfg_1296, 0, 307154
cfg_1322, 0, 363698
cfg_1331, 0, 453746
cfg_1332, 0, 282210
cfg_1344, 0, 548090
cfg_1356, 0, 493058
cfg_1360, 0, 406930
cfg_1366, 0, 177330
cfg_1370, 0, 517074
cfg_1385, 0, 476066
cfg_1391, 0, 562762
cfg_1400, 0, 409282
cfg_1402, 0, 341802
cfg_1408, 0, 206394
cfg_1432, 0, 534010
cfg_1433, 0, 552242
cfg_1436, 0, 419690
cfg_1483, 0, 289586
cfg_1491, 0, 414098
cfg_1493, 0, 380642
cfg_1513, 0, 175178
cfg_1520, 0, 359282
cfg_1530, 0, 529290
cfg_1533, 0, 284410
cfg_1558, 0, 456802
cfg_1573, 0, 261554
cfg_1605, 0, 376490
cfg_1607, 0, 354178
cfg_1625, 0, 448722
cfg_1673, 0, 501674
cfg_1695, 0, 277138
cfg_1698, 0, 546514
cfg_1718, 0, 583954
cfg_1726, 0, 511626
cfg_1731, 0, 367698
cfg_1769, 0, 358818
cfg_1790, 0, 573058
cfg_1851, 0, 484914
cfg_1854, 0, 413730
cfg_1875, 0, 513522
cfg_1889, 0, 538986
cfg_1904, 0, 528626
cfg_1947, 0, 204250
cfg_1950, 0, 528082
cfg_1952, 0, 196426
cfg_1997, 0, 332274
cfg_2004, 0, 176730
cfg_2008, 0, 433410
cfg_2011, 0, 391298
cfg_2012, 0, 206034
cfg_2043, 0, 318946
cfg_2057, 0, 489826
cfg_2073, 0, 461826
cfg_2086, 0, 259914
cfg_2087, 0, 283650
