Name, FLOPs, Params
cfg_51, 0, 175282
cfg_298, 0, 239346
cfg_345, 0, 142370
cfg_464, 0, 234674
cfg_486, 0, 208970
cfg_569, 0, 225938
cfg_789, 0, 153058
cfg_801, 0, 125882
cfg_1651, 0, 201450
cfg_1684, 0, 131954
cfg_1747, 0, 177010
cfg_1779, 0, 197730
cfg_1836, 0, 128850
cfg_1843, 0, 228370
cfg_1953, 0, 189138
cfg_2123, 0, 224730
cfg_2225, 0, 229498
cfg_2461, 0, 224730
cfg_2720, 0, 209906
cfg_2740, 0, 239218
cfg_2848, 0, 194578
cfg_3263, 0, 247386
cfg_3399, 0, 203098
cfg_3449, 0, 242210
cfg_3700, 0, 171554
cfg_3779, 0, 221602
cfg_3915, 0, 143578
cfg_4043, 0, 248882
cfg_4073, 0, 213074
cfg_4291, 0, 224170
cfg_4847, 0, 157986
