Name, FLOPs, Params
cfg_0, 0, 422818
cfg_4, 0, 506930
cfg_27, 0, 467226
cfg_31, 0, 554050
cfg_86, 0, 596370
cfg_115, 0, 395522
cfg_117, 0, 575970
cfg_118, 0, 242858
cfg_140, 0, 467818
cfg_144, 0, 270066
cfg_146, 0, 551458
cfg_160, 0, 492738
cfg_166, 0, 485610
cfg_170, 0, 411778
cfg_201, 0, 533826
cfg_216, 0, 440922
cfg_227, 0, 253778
cfg_233, 0, 369858
cfg_244, 0, 337250
cfg_249, 0, 395490
cfg_255, 0, 252746
cfg_269, 0, 505290
cfg_283, 0, 469890
cfg_289, 0, 383346
cfg_297, 0, 478378
cfg_361, 0, 180674
cfg_372, 0, 322282
cfg_377, 0, 321698
cfg_378, 0, 341442
cfg_395, 0, 290450
cfg_403, 0, 290594
cfg_440, 0, 143618
cfg_452, 0, 388818
cfg_491, 0, 508690
cfg_494, 0, 482738
cfg_515, 0, 446834
cfg_521, 0, 444226
cfg_524, 0, 226818
cfg_543, 0, 401634
cfg_623, 0, 597666
cfg_652, 0, 296946
cfg_666, 0, 420546
cfg_711, 0, 308066
cfg_730, 0, 530354
cfg_745, 0, 355866
cfg_747, 0, 351122
cfg_750, 0, 428482
cfg_774, 0, 170210
cfg_775, 0, 554930
cfg_780, 0, 515314
cfg_791, 0, 399634
cfg_792, 0, 389810
cfg_797, 0, 502402
cfg_806, 0, 588314
cfg_841, 0, 282946
cfg_858, 0, 186594
cfg_862, 0, 357186
cfg_863, 0, 289458
cfg_865, 0, 220930
cfg_889, 0, 480402
cfg_898, 0, 386370
cfg_942, 0, 314274
cfg_946, 0, 562786
cfg_949, 0, 573666
cfg_958, 0, 561074
cfg_1021, 0, 214434
cfg_1026, 0, 398354
cfg_1033, 0, 581826
cfg_1084, 0, 500234
cfg_1115, 0, 160514
cfg_1140, 0, 177514
cfg_1144, 0, 189858
cfg_1154, 0, 498722
cfg_1196, 0, 309018
cfg_1209, 0, 283082
cfg_1216, 0, 446498
cfg_1233, 0, 372330
cfg_1267, 0, 234850
cfg_1268, 0, 443954
cfg_1277, 0, 475938
cfg_1302, 0, 361402
cfg_1305, 0, 567650
cfg_1310, 0, 183586
cfg_1316, 0, 343970
cfg_1329, 0, 492330
cfg_1340, 0, 218946
cfg_1345, 0, 519266
cfg_1350, 0, 209778
cfg_1393, 0, 294410
cfg_1446, 0, 414082
cfg_1522, 0, 231362
cfg_1543, 0, 493554
cfg_1551, 0, 363002
cfg_1554, 0, 570226
cfg_1571, 0, 553994
cfg_1585, 0, 358394
cfg_1589, 0, 417034
cfg_1615, 0, 577538
cfg_1646, 0, 405370
cfg_1704, 0, 367114
cfg_1710, 0, 196866
cfg_1720, 0, 219106
cfg_1733, 0, 455818
cfg_1775, 0, 542098
cfg_1781, 0, 523394
cfg_1852, 0, 231010
cfg_1854, 0, 458642
cfg_1883, 0, 591410
cfg_1898, 0, 518282
cfg_1958, 0, 469370
cfg_1988, 0, 550354
cfg_1996, 0, 440114
cfg_1997, 0, 514498
cfg_2002, 0, 350346
cfg_2003, 0, 592898
cfg_2022, 0, 486242
cfg_2034, 0, 515914
cfg_2052, 0, 426770
cfg_2069, 0, 590402
cfg_2079, 0, 489594
cfg_2093, 0, 473682
cfg_2116, 0, 309666
cfg_2127, 0, 490762
cfg_2145, 0, 598226
cfg_2162, 0, 408978
cfg_2163, 0, 416274
cfg_2178, 0, 326050
cfg_2184, 0, 590258
cfg_2188, 0, 416594
cfg_2194, 0, 387378
cfg_2197, 0, 507362
cfg_2202, 0, 459554
cfg_2222, 0, 562714
cfg_2257, 0, 505618
cfg_2258, 0, 205778
cfg_2289, 0, 488770
cfg_2302, 0, 333858
cfg_2308, 0, 506978
cfg_2311, 0, 475218
cfg_2317, 0, 267778
cfg_2329, 0, 217138
cfg_2331, 0, 553538
cfg_2353, 0, 186266
cfg_2403, 0, 294538
cfg_2416, 0, 538978
cfg_2423, 0, 377218
cfg_2431, 0, 577682
cfg_2436, 0, 493186
cfg_2446, 0, 465066
cfg_2459, 0, 397250
cfg_2460, 0, 510098
cfg_2462, 0, 403426
cfg_2473, 0, 591282
cfg_2485, 0, 585746
cfg_2486, 0, 299618
cfg_2502, 0, 599306
cfg_2560, 0, 556082
cfg_2586, 0, 469698
cfg_2595, 0, 492242
cfg_2597, 0, 598234
cfg_2608, 0, 258002
cfg_2612, 0, 549026
cfg_2631, 0, 563626
cfg_2666, 0, 130354
cfg_2691, 0, 411514
cfg_2694, 0, 581106
cfg_2703, 0, 250386
cfg_2711, 0, 550242
cfg_2731, 0, 562298
cfg_2746, 0, 432226
cfg_2758, 0, 324306
cfg_2761, 0, 582290
cfg_2766, 0, 307130
cfg_2767, 0, 508338
cfg_2849, 0, 253970
cfg_2853, 0, 491186
cfg_2855, 0, 416746
cfg_2860, 0, 314410
cfg_2861, 0, 573226
cfg_2889, 0, 582730
cfg_2896, 0, 586466
cfg_2994, 0, 202314
cfg_2995, 0, 567370
cfg_2998, 0, 304146
cfg_3014, 0, 493770
cfg_3026, 0, 237042
cfg_3043, 0, 297298
cfg_3062, 0, 226290
cfg_3086, 0, 587634
cfg_3095, 0, 411522
cfg_3113, 0, 489730
cfg_3117, 0, 357578
cfg_3129, 0, 373346
cfg_3136, 0, 402226
cfg_3149, 0, 329850
cfg_3191, 0, 295858
cfg_3195, 0, 208858
cfg_3269, 0, 479962
cfg_3280, 0, 351298
cfg_3283, 0, 249458
cfg_3302, 0, 474114
cfg_3319, 0, 366866
cfg_3322, 0, 340706
cfg_3349, 0, 494666
cfg_3353, 0, 494082
cfg_3365, 0, 491202
cfg_3370, 0, 383258
cfg_3379, 0, 468842
cfg_3397, 0, 161490
cfg_3419, 0, 335938
cfg_3448, 0, 526986
cfg_3472, 0, 504818
cfg_3503, 0, 434338
cfg_3515, 0, 481450
cfg_3533, 0, 215402
cfg_3540, 0, 170282
cfg_3569, 0, 274242
cfg_3577, 0, 585306
cfg_3580, 0, 462210
cfg_3585, 0, 582938
cfg_3593, 0, 541642
cfg_3595, 0, 494730
cfg_3622, 0, 497218
cfg_3627, 0, 511850
cfg_3629, 0, 160498
cfg_3647, 0, 539794
cfg_3658, 0, 582802
cfg_3666, 0, 448586
cfg_3689, 0, 176410
cfg_3692, 0, 378170
cfg_3703, 0, 572626
cfg_3733, 0, 334898
cfg_3735, 0, 448362
cfg_3736, 0, 397202
cfg_3745, 0, 376946
cfg_3750, 0, 519298
cfg_3754, 0, 478682
cfg_3755, 0, 404002
cfg_3762, 0, 358090
cfg_3766, 0, 543522
cfg_3795, 0, 386322
cfg_3809, 0, 592482
cfg_3820, 0, 570602
cfg_3828, 0, 492370
cfg_3849, 0, 429154
cfg_3854, 0, 461146
cfg_3858, 0, 471938
cfg_3863, 0, 284530
cfg_3919, 0, 493394
cfg_3944, 0, 505722
cfg_3988, 0, 534970
cfg_4044, 0, 250858
cfg_4077, 0, 487618
cfg_4081, 0, 289138
cfg_4086, 0, 460666
cfg_4098, 0, 461778
cfg_4118, 0, 119626
cfg_4128, 0, 374522
cfg_4145, 0, 467378
cfg_4152, 0, 300346
cfg_4222, 0, 290042
cfg_4285, 0, 452402
cfg_4289, 0, 550450
cfg_4295, 0, 556386
cfg_4300, 0, 279330
cfg_4324, 0, 427890
cfg_4345, 0, 384162
cfg_4358, 0, 234538
cfg_4378, 0, 576274
cfg_4397, 0, 584146
cfg_4413, 0, 261586
cfg_4430, 0, 381314
cfg_4458, 0, 521266
cfg_4480, 0, 597346
cfg_4494, 0, 589834
cfg_4519, 0, 407066
cfg_4525, 0, 564146
cfg_4537, 0, 580714
cfg_4563, 0, 395698
cfg_4565, 0, 256274
cfg_4583, 0, 399458
cfg_4596, 0, 524946
cfg_4650, 0, 515754
cfg_4655, 0, 353330
cfg_4690, 0, 210722
cfg_4693, 0, 340146
cfg_4707, 0, 498866
cfg_4716, 0, 587218
cfg_4805, 0, 564546
cfg_4838, 0, 378738
cfg_4855, 0, 316010
cfg_4861, 0, 393202
cfg_4914, 0, 456514
cfg_4921, 0, 324930
cfg_4923, 0, 486834
cfg_4929, 0, 534586
cfg_4954, 0, 218042
cfg_4967, 0, 216482
cfg_4973, 0, 378130
cfg_4997, 0, 597602
