Name, FLOPs, Params
cfg_10, 0, 1097778
cfg_12, 0, 686906
cfg_16, 0, 1077562
cfg_19, 0, 1152298
cfg_27, 0, 965186
cfg_30, 0, 849874
cfg_58, 0, 776370
cfg_68, 0, 734442
cfg_80, 0, 913618
cfg_83, 0, 1122946
cfg_87, 0, 1026578
cfg_93, 0, 1015394
cfg_94, 0, 939186
cfg_98, 0, 1038954
cfg_103, 0, 981458
cfg_112, 0, 747794
cfg_113, 0, 787434
cfg_117, 0, 652834
cfg_137, 0, 783962
cfg_142, 0, 933618
cfg_143, 0, 959906
cfg_162, 0, 652946
cfg_169, 0, 848962
cfg_172, 0, 1145146
cfg_175, 0, 1053290
cfg_177, 0, 1054506
cfg_182, 0, 787034
cfg_183, 0, 848666
cfg_192, 0, 953650
cfg_201, 0, 631826
cfg_205, 0, 973938
cfg_219, 0, 845154
cfg_223, 0, 751474
cfg_245, 0, 1029850
cfg_247, 0, 1110962
cfg_257, 0, 766738
cfg_263, 0, 663050
cfg_264, 0, 1041370
cfg_268, 0, 947922
cfg_276, 0, 646946
cfg_279, 0, 777314
cfg_282, 0, 709954
cfg_283, 0, 1045010
cfg_293, 0, 1136578
cfg_307, 0, 970962
cfg_310, 0, 839154
cfg_311, 0, 766034
cfg_315, 0, 988050
cfg_322, 0, 909034
cfg_328, 0, 892586
cfg_335, 0, 1088338
cfg_336, 0, 755314
cfg_340, 0, 640666
cfg_348, 0, 1026754
cfg_349, 0, 608410
cfg_350, 0, 910858
cfg_361, 0, 946450
cfg_383, 0, 914850
cfg_403, 0, 671410
cfg_405, 0, 1198898
cfg_411, 0, 778642
cfg_414, 0, 956074
cfg_427, 0, 1004226
cfg_428, 0, 926322
cfg_435, 0, 1162082
cfg_449, 0, 1159106
cfg_457, 0, 760002
cfg_468, 0, 788970
cfg_469, 0, 855066
cfg_470, 0, 759634
cfg_493, 0, 924130
cfg_495, 0, 1125282
cfg_499, 0, 846322
cfg_503, 0, 661618
cfg_519, 0, 646426
cfg_521, 0, 698194
cfg_536, 0, 714978
cfg_544, 0, 985858
cfg_546, 0, 1069098
cfg_547, 0, 655450
cfg_548, 0, 875610
cfg_556, 0, 1163906
cfg_560, 0, 1010778
cfg_561, 0, 914522
cfg_562, 0, 955338
cfg_564, 0, 1138226
cfg_565, 0, 703562
cfg_566, 0, 640194
cfg_573, 0, 676266
cfg_576, 0, 966306
cfg_581, 0, 1176322
cfg_589, 0, 1048626
cfg_610, 0, 947634
cfg_632, 0, 952754
cfg_634, 0, 771922
cfg_640, 0, 1010962
cfg_646, 0, 967194
cfg_649, 0, 648946
cfg_664, 0, 1080034
cfg_670, 0, 1180242
cfg_687, 0, 1097714
cfg_696, 0, 986738
cfg_698, 0, 1097322
cfg_699, 0, 766050
cfg_716, 0, 927746
cfg_721, 0, 1019466
cfg_725, 0, 969506
cfg_728, 0, 914434
cfg_734, 0, 958594
cfg_745, 0, 705378
cfg_752, 0, 1044978
cfg_753, 0, 954834
cfg_757, 0, 989210
cfg_759, 0, 1076706
cfg_762, 0, 1037874
cfg_800, 0, 929898
cfg_802, 0, 803442
cfg_803, 0, 962098
cfg_808, 0, 728666
cfg_811, 0, 639570
cfg_812, 0, 1178930
cfg_816, 0, 798050
cfg_823, 0, 972418
cfg_832, 0, 753218
cfg_851, 0, 897794
cfg_853, 0, 814034
cfg_856, 0, 840114
cfg_857, 0, 1057474
cfg_862, 0, 1145370
cfg_865, 0, 871810
cfg_882, 0, 1034602
cfg_884, 0, 653842
cfg_885, 0, 706842
cfg_892, 0, 775210
cfg_899, 0, 1016482
cfg_902, 0, 854210
cfg_905, 0, 661922
cfg_912, 0, 940274
cfg_916, 0, 915698
cfg_924, 0, 954738
cfg_925, 0, 1081786
cfg_926, 0, 765218
cfg_931, 0, 850402
cfg_934, 0, 1037586
cfg_936, 0, 1060442
cfg_938, 0, 1009002
cfg_949, 0, 820802
cfg_951, 0, 1162786
cfg_971, 0, 1142210
cfg_977, 0, 899202
cfg_987, 0, 995410
cfg_992, 0, 948146
