Name, FLOPs, Params
cfg_9, 30399702.0, 990802
cfg_12, 136949568.66666666, 901426
cfg_18, 19023136.666666668, 950458
cfg_66, 458150486.0, 511682
cfg_119, 259692928.66666666, 763906
cfg_120, 86611243.33333333, 605714
cfg_151, 641553686.0, 956002
cfg_154, 54627328.666666664, 306946
cfg_161, 344256043.3333333, 587090
cfg_173, 157036971.33333334, 908858
cfg_186, 214616896.66666666, 705554
cfg_204, 63274368.666666664, 738114
cfg_208, 92310806.0, 705282
cfg_225, 112165248.66666667, 616386
cfg_229, 102005078.0, 961394
cfg_236, 31951382.0, 748298
cfg_256, 82888704.66666667, 963002
cfg_262, 175472043.33333334, 237738
cfg_279, 267445291.33333334, 658090
cfg_282, 50720939.333333336, 723026
cfg_283, 310464043.3333333, 348402
cfg_290, 90812779.33333333, 901578
cfg_293, 19573803.333333332, 343714
cfg_297, 63514283.333333336, 690898
cfg_300, 245606443.33333334, 423506
cfg_302, 145854976.66666666, 838594
cfg_306, 215187563.33333334, 658018
cfg_320, 149589611.33333334, 550802
cfg_334, 140580011.33333334, 699266
cfg_351, 620491691.3333334, 931234
cfg_363, 86956971.33333333, 479274
cfg_373, 231090048.66666666, 853106
cfg_379, 67235883.33333333, 385458
cfg_395, 56285142.0, 692418
cfg_414, 135709526.0, 385618
cfg_416, 102895168.66666667, 683202
cfg_427, 546387563.3333334, 765810
cfg_431, 129625728.66666667, 625202
cfg_434, 432067328.6666667, 877882
cfg_439, 205240875.33333334, 847362
cfg_446, 118048416.66666667, 821490
cfg_451, 582595286.0, 995658
cfg_458, 132862123.33333333, 636642
cfg_469, 299203926.0, 912210
cfg_472, 94882923.33333333, 729730
cfg_487, 120334123.33333333, 782546
cfg_493, 296962688.6666667, 876602
cfg_494, 82581846.0, 709586
cfg_499, 13449675.333333334, 676642
cfg_500, 68832363.33333333, 771002
cfg_510, 349032086.0, 760874
cfg_530, 51953088.666666664, 964394
cfg_542, 226681046.0, 947938
cfg_548, 422851286.0, 681922
cfg_589, 209568043.33333334, 466698
cfg_594, 148404246.0, 934578
cfg_598, 82949931.33333333, 905330
cfg_607, 230916651.33333334, 970258
cfg_617, 134279766.0, 487970
cfg_620, 525589163.3333333, 698602
cfg_622, 14877035.333333334, 642162
cfg_635, 450350528.6666667, 909170
cfg_640, 52673088.666666664, 628874
cfg_679, 67759168.66666667, 284490
cfg_690, 96408278.0, 983746
cfg_691, 76157494.0, 931482
cfg_701, 124072363.33333333, 773258
cfg_730, 19126486.0, 327834
cfg_736, 215224448.66666666, 809458
cfg_748, 119047403.33333333, 991858
cfg_759, 44464235.333333336, 706122
cfg_770, 90937387.33333333, 687850
cfg_784, 471672086.0, 840514
cfg_793, 522931371.3333333, 871234
cfg_794, 19111211.333333332, 669754
cfg_796, 706065643.3333334, 883162
cfg_824, 143710763.33333334, 688098
cfg_848, 180586283.33333334, 665986
cfg_862, 512404416.6666667, 910786
cfg_880, 175317568.66666666, 706562
cfg_887, 43677568.666666664, 601122
cfg_888, 53695382.0, 810330
cfg_893, 224284886.0, 463258
cfg_898, 150487083.33333334, 880338
cfg_904, 167720768.66666666, 680690
cfg_910, 459542656.6666667, 881002
cfg_919, 32458411.333333332, 851058
cfg_922, 21964096.666666668, 457674
cfg_924, 84323968.66666667, 911386
cfg_940, 67108928.66666667, 655026
cfg_951, 26441088.666666668, 501538
cfg_976, 151244203.33333334, 952962
cfg_977, 161547328.66666666, 757010
cfg_978, 44967488.666666664, 855266
cfg_991, 163270763.33333334, 350802
cfg_1015, 224940331.33333334, 649810
cfg_1019, 137315883.33333334, 838162
cfg_1031, 358753408.6666667, 397930
cfg_1032, 314890166.0, 899890
cfg_1038, 25216918.0, 953090
cfg_1044, 359587286.0, 678930
cfg_1048, 51130646.0, 552530
cfg_1049, 283723926.0, 585426
cfg_1054, 133201163.33333333, 868106
cfg_1067, 168759734.0, 981618
cfg_1078, 129349846.0, 763122
cfg_1079, 541094571.3333334, 809570
cfg_1082, 16451691.333333334, 940722
cfg_1084, 412334806.0, 946186
cfg_1085, 205383510.0, 795698
