Name, FLOPs, Params
cfg_4, 16398432086.0, 930954
cfg_5, 2337504086.0, 662546
cfg_7, 9520704128.666666, 539786
cfg_11, 3735782486.0, 774482
cfg_14, 4185686571.3333335, 624578
cfg_17, 3696844886.0, 854562
cfg_30, 10747728128.666666, 821682
cfg_32, 2849721771.3333335, 792274
cfg_37, 4898784171.333333, 540714
cfg_42, 2358268886.0, 986530
cfg_55, 3031881771.3333335, 665754
cfg_68, 5248521771.333333, 746122
cfg_69, 10188576171.333334, 666386
cfg_72, 12210028971.333334, 929666
cfg_73, 1846982486.0, 479946
cfg_74, 2416147371.3333335, 535890
cfg_80, 2651366571.3333335, 390594
cfg_84, 1472294486.0, 437170
cfg_89, 649132886.0, 503898
cfg_93, 3741657686.0, 755650
cfg_106, 6950323371.333333, 916802
cfg_110, 7861824086.0, 499850
cfg_113, 2185564886.0, 480850
cfg_120, 3529344171.3333335, 591586
cfg_135, 2857132886.0, 945466
cfg_140, 4306137771.333333, 933922
cfg_150, 47898864128.666664, 974930
cfg_154, 22455504128.666668, 766402
cfg_178, 11556979328.666666, 972210
cfg_181, 3306672086.0, 901610
cfg_193, 3652800086.0, 854938
cfg_205, 1564377686.0, 372242
cfg_222, 6277459286.0, 579138
cfg_240, 2209814486.0, 702330
cfg_253, 8418499328.666667, 947914
cfg_254, 12425760128.666666, 822330
cfg_288, 1741315328.6666667, 531378
cfg_296, 2520067371.3333335, 695202
cfg_304, 4919750528.666667, 599202
cfg_310, 1987862528.6666667, 652850
cfg_313, 12469248128.666666, 617618
cfg_314, 3795283286.0, 700042
cfg_317, 3611136086.0, 847562
cfg_318, 5432256086.0, 895298
cfg_329, 1607491328.6666667, 906594
cfg_337, 5338099371.333333, 904562
cfg_342, 1799635286.0, 493074
cfg_344, 9731088128.666666, 609338
cfg_346, 5536972928.666667, 778170
cfg_351, 2563987286.0, 455266
cfg_354, 5032915371.333333, 597010
cfg_355, 1912070486.0, 864874
cfg_359, 8376873728.666667, 438962
cfg_361, 21650784086.0, 783314
cfg_363, 4657152128.666667, 930002
cfg_370, 5040787328.666667, 984610
cfg_373, 9566784128.666666, 491050
cfg_374, 3365116886.0, 991218
cfg_377, 4028044886.0, 285266
cfg_387, 3552480086.0, 904706
cfg_388, 6424396886.0, 516594
cfg_402, 5234803328.666667, 989466
cfg_403, 13487529728.666666, 909810
cfg_422, 5431219328.666667, 962402
cfg_435, 3702585771.3333335, 781994
cfg_439, 959414571.3333334, 566906
cfg_449, 13967424128.666666, 629730
cfg_474, 10411814486.0, 310034
cfg_478, 29646720086.0, 731090
cfg_479, 3291043371.3333335, 589010
cfg_486, 3320659328.6666665, 510210
cfg_512, 3726220928.6666665, 829866
cfg_513, 2884300971.3333335, 910898
cfg_518, 3014534486.0, 977210
cfg_520, 2709033771.3333335, 717602
cfg_521, 3937248128.6666665, 298026
cfg_522, 14227392128.666666, 736922
cfg_526, 2155872171.3333335, 731906
cfg_532, 3960038571.3333335, 981914
cfg_545, 5344608128.666667, 653970
cfg_548, 3524832171.3333335, 344562
cfg_555, 8098704128.666667, 480474
cfg_564, 2848492928.6666665, 539418
cfg_569, 7895328086.0, 474002
cfg_597, 16826256171.333334, 927410
cfg_605, 3187046571.3333335, 996130
cfg_618, 4186675328.6666665, 545810
cfg_620, 1669017686.0, 559690
cfg_632, 2628988928.6666665, 698650
cfg_636, 14330726486.0, 884090
cfg_651, 3938764928.6666665, 280682
cfg_652, 3633619371.3333335, 852546
cfg_659, 6802598486.0, 969546
cfg_670, 3813494571.3333335, 908946
cfg_678, 1620729771.3333333, 720290
cfg_698, 1873536171.3333333, 341946
