Name, FLOPs, Params
cfg_6, 20328192171.333332, 949866
cfg_27, 4625942528.666667, 783962
cfg_28, 6157161771.333333, 833506
cfg_29, 26259696171.333332, 868738
cfg_30, 15006528086.0, 820834
cfg_31, 5247964971.333333, 921890
cfg_32, 6046617728.666667, 363234
cfg_35, 13898380928.666666, 771714
cfg_36, 2625014571.3333335, 450898
cfg_40, 8626848128.666666, 838706
cfg_45, 32378256171.333332, 888418
cfg_61, 7490918486.0, 409330
cfg_91, 3448876928.6666665, 413106
cfg_94, 934684971.3333334, 372706
cfg_96, 13042118528.666666, 335066
cfg_98, 7237075328.666667, 555826
cfg_112, 16173792128.666666, 710674
cfg_121, 7273584086.0, 247762
cfg_129, 7778428971.333333, 867218
cfg_133, 916867286.0, 569410
cfg_136, 7125177771.333333, 917762
cfg_137, 6099859371.333333, 872690
cfg_138, 3332716928.6666665, 490194
cfg_143, 4569840086.0, 291266
cfg_148, 4451356928.666667, 592138
cfg_149, 3087936086.0, 473170
cfg_150, 1390608086.0, 493826
cfg_151, 5210006528.666667, 882370
cfg_157, 4467158571.333333, 701874
cfg_174, 2240976128.6666665, 854898
cfg_176, 5078630571.333333, 881874
cfg_181, 18611712086.0, 897602
cfg_187, 1463040086.0, 603626
cfg_212, 10505414528.666666, 538754
cfg_215, 1800883371.3333333, 535162
cfg_218, 10007712086.0, 586410
cfg_221, 6190185771.333333, 836314
cfg_227, 10531584128.666666, 640770
cfg_228, 4353235328.666667, 884434
cfg_236, 3155452886.0, 255930
cfg_246, 4743926571.333333, 806738
cfg_272, 2757465728.6666665, 671906
cfg_295, 4264982528.6666665, 724066
cfg_303, 2547187328.6666665, 672562
cfg_310, 5937676886.0, 492514
cfg_315, 6772569686.0, 930842
cfg_317, 1426963286.0, 618906
cfg_326, 2097724971.3333333, 499106
cfg_329, 15849360086.0, 535874
cfg_340, 2045836971.3333333, 505530
cfg_343, 29084707328.666668, 936626
cfg_346, 12524966486.0, 634458
cfg_347, 7361904171.333333, 564610
cfg_365, 1163424086.0, 712146
cfg_382, 3783513771.3333335, 663474
cfg_391, 3472521728.6666665, 524818
cfg_393, 12706598571.333334, 944314
cfg_401, 13003536128.666666, 939170
cfg_402, 4202073771.3333335, 603778
cfg_408, 1098624086.0, 308002
cfg_411, 11712096086.0, 879202
cfg_416, 4548537686.0, 651706
cfg_419, 2063337728.6666667, 698058
cfg_421, 8162640128.666667, 296578
cfg_427, 1567276971.3333333, 257290
cfg_432, 7790342486.0, 953234
cfg_435, 2260300886.0, 841586
cfg_451, 1334956886.0, 975426
cfg_466, 2232124971.3333335, 255458
cfg_478, 4551264086.0, 167130
cfg_479, 4706476971.333333, 882562
cfg_483, 53926416086.0, 935170
cfg_484, 5413939371.333333, 934946
cfg_488, 1260153771.3333333, 228498
cfg_489, 4636569728.666667, 823138
cfg_492, 1202083371.3333333, 576698
cfg_493, 5946076886.0, 775386
cfg_498, 2062185728.6666667, 361690
cfg_504, 7289184086.0, 875210
cfg_509, 887232128.6666666, 568770
cfg_516, 5447894486.0, 934546
cfg_519, 4052956928.6666665, 485994
cfg_520, 4165708971.3333335, 387002
cfg_523, 4947494486.0, 751362
cfg_525, 12118118486.0, 787058
cfg_529, 1850870486.0, 204002
cfg_537, 2647968128.6666665, 955170
cfg_540, 7827283371.333333, 588378
cfg_542, 5483308971.333333, 630258
cfg_545, 5165328086.0, 812506
cfg_550, 8508432128.666667, 777746
cfg_551, 2543692928.6666665, 804354
cfg_552, 8691120128.666666, 512706
cfg_553, 4115769686.0, 471138
cfg_556, 3105369728.6666665, 346194
cfg_557, 2528620886.0, 450138
cfg_559, 3988838571.3333335, 309234
cfg_568, 4863398571.333333, 798706
cfg_578, 10542950571.333334, 895754
cfg_582, 4435084886.0, 418146
cfg_586, 4642060971.333333, 987794
cfg_600, 5039587328.666667, 975954
cfg_616, 1192051328.6666667, 772634
cfg_624, 29609280171.333332, 869674
cfg_629, 4580774486.0, 607090
cfg_632, 9167577771.333334, 962810
cfg_633, 18173184128.666668, 914754
cfg_634, 9830246486.0, 757490
cfg_652, 5102592086.0, 830962
cfg_654, 6378547328.666667, 763474
cfg_662, 3905510571.3333335, 591778
cfg_665, 4253808086.0, 742730
cfg_667, 2625964886.0, 588266
cfg_676, 1355040128.6666667, 795986
cfg_679, 5586316886.0, 553386
cfg_682, 28403712171.333332, 576778
cfg_686, 5235801728.666667, 907890
cfg_710, 7173436971.333333, 793146
cfg_715, 1680556886.0, 798538
cfg_729, 33132672171.333332, 954962
cfg_732, 4569312171.333333, 634666
cfg_741, 6883900928.666667, 309522
cfg_743, 3973305686.0, 985562
cfg_745, 10396492886.0, 577682
cfg_756, 16373952086.0, 752162
cfg_770, 1645516971.3333333, 375018
cfg_774, 18520704171.333332, 548978
cfg_776, 3555331286.0, 619554
cfg_781, 1051305728.6666666, 173634
cfg_782, 907056171.3333334, 304226
cfg_783, 7429785686.0, 705722
cfg_795, 5004288086.0, 644898
cfg_801, 4823990528.666667, 527578
cfg_802, 14614560128.666666, 662162
cfg_807, 3566553686.0, 720122
cfg_811, 2792630571.3333335, 364594
cfg_817, 51403968128.666664, 875858
cfg_822, 3729724886.0, 642914
cfg_834, 25360128128.666668, 924626
cfg_835, 4612368171.333333, 993498
cfg_842, 2996851371.3333335, 898826
cfg_843, 4610352086.0, 953266
cfg_845, 3554649686.0, 506946
cfg_847, 4079692886.0, 890626
cfg_849, 4465680128.666667, 571834
cfg_859, 1995705771.3333333, 576146
cfg_861, 6149740928.666667, 833650
cfg_862, 1613856171.3333333, 713730
cfg_863, 2845420886.0, 976898
cfg_864, 1596825771.3333333, 237074
cfg_873, 30493728128.666668, 974650
cfg_875, 12534220928.666666, 564554
cfg_877, 1396752086.0, 284954
cfg_878, 2602204928.6666665, 532546
cfg_887, 4833638571.333333, 945490
cfg_905, 4475337771.333333, 452290
cfg_908, 5614953686.0, 641010
cfg_914, 6538080086.0, 933250
cfg_924, 9236217728.666666, 852058
cfg_926, 16286544086.0, 892210
cfg_937, 24657120086.0, 518754
cfg_942, 9241056171.333334, 566874
cfg_943, 4278969686.0, 840690
cfg_954, 3425625771.3333335, 551306
cfg_964, 11153952086.0, 491842
cfg_966, 3381945771.3333335, 365202
cfg_973, 7769472128.666667, 856258
