name,zcu102_75res
model_1890,2799.70462614871
model_377,2822.89537733222
model_152,2822.95109997215
model_2171,2843.91539264829
model_1079,3064.87080896686
model_1578,3763.92767683097
model_3309,3792.94618490671
model_2294,3978.94719437483
model_235,4198.80497424116
model_1740,4264.9369604567
model_1236,4456.85629351156
model_1071,4595.9134502924
model_374,5335.75692703982
model_2843,5335.86407685881
model_2602,5335.8869604567
model_1831,5335.88751044277
model_1295,5335.90720899471
model_860,5335.90978835979
model_3235,5335.93318017265
model_294,5335.9417989418
model_2613,5597.67429685324
model_174,5597.72819548872
model_1253,5597.79195906433
model_3181,5597.84873294347
model_1993,5597.88187134503
model_3441,5597.89933862434
model_382,5597.90364800891
model_636,5597.9169695071
model_2860,5597.93028404344
model_2800,5597.93040935673
model_981,5597.93614243943
model_1714,5597.94033695349
model_1082,5597.94686716792
model_785,5597.9543128655
model_1732,5597.96217975494
model_1627,5644.87007797271
model_3403,5644.9052074631
model_1621,5644.95158033974
model_386,5686.80066485659
model_31,5686.83323586745
model_1766,5686.84455931495
model_1400,5686.84976329713
model_2056,5686.8552631579
model_1635,5686.87708159287
model_1767,5686.90666945141
model_2893,5686.92972709552
model_2251,5686.94962754107
model_2377,5912.93408521303
model_3411,6127.9007240323
model_801,6349.87829295461
model_450,6382.9121449457
model_3404,6382.93340991367
model_2441,6684.90293790031
model_1145,7148.91221108326
model_1354,7407.94883040936
model_2725,7525.697970621
model_1286,7525.8078599276
model_1032,7525.81597048176
model_1638,7525.84860763019
model_2149,7525.84901141743
model_2069,7525.85551378446
model_2761,7525.87413673072
model_3201,7525.87456140351
model_890,7525.90767891952
model_2872,7525.93943191312
model_2442,7583.90601503759
model_3118,7882.84824213311
model_2976,7882.88666109719
model_3273,7882.90924881649
model_2560,7882.91750208856
model_2416,7882.91861598441
model_2855,7882.94162489557
model_2032,7956.88367098301
model_1498,7956.90309106099
model_557,7956.91486354776
model_337,7956.93607630187
model_2989,8002.92694583681
model_2267,8002.94081732108
model_2359,8169.79785575049
model_1975,8396.8567251462
model_1632,8396.91757866889
model_2270,8396.92057922584
model_2469,8396.96312308549
model_289,8465.89581940964
model_1823,8465.92568574213
model_1680,8465.93610414926
model_1593,8465.93974867725
model_3253,8465.95341826789
model_2959,8883.90341826789
model_272,8912.77100041771
model_3196,8912.84445140629
model_1747,8912.85118699527
model_1572,8912.89051796157
