epoch,tr_p10_acc,val_p10_acc,train_loss,val_loss,tr_p5_acc,val_p5_acc,tr_p15_acc,val_p15_acc,tr_p_error,val_p_error
0,0.78,0.94,0.01,0.01,0.45,0.52,0.91,0.99,7.19,5.56
1,0.97,0.93,0.0,0.0,0.8,0.62,0.99,0.99,3.9,5.03
2,0.98,0.96,0.0,0.0,0.86,0.69,1.0,0.99,3.47,4.6
3,0.98,0.95,0.0,0.0,0.86,0.68,1.0,0.98,3.39,4.61
4,0.99,0.94,0.0,0.0,0.89,0.67,1.0,0.99,3.16,4.42
5,0.99,0.97,0.0,0.0,0.89,0.7,1.0,1.0,3.22,4.14
6,0.99,0.96,0.0,0.0,0.92,0.71,1.0,1.0,2.86,4.15
7,0.99,0.95,0.0,0.0,0.93,0.76,1.0,0.99,2.73,4.09
8,0.98,0.95,0.0,0.0,0.86,0.74,0.99,0.99,3.42,4.0
9,0.99,0.94,0.0,0.0,0.93,0.66,1.0,0.99,2.72,4.64
10,0.99,0.96,0.0,0.0,0.91,0.72,1.0,0.99,2.89,4.35
11,0.99,0.96,0.0,0.0,0.93,0.7,1.0,0.98,2.7,4.59
12,0.99,0.95,0.0,0.0,0.88,0.68,1.0,0.99,3.1,4.35
13,1.0,0.96,0.0,0.0,0.93,0.68,1.0,0.99,2.66,4.32
14,1.0,0.96,0.0,0.0,0.94,0.8,1.0,0.99,2.61,3.94
15,1.0,0.97,0.0,0.0,0.94,0.78,1.0,1.0,2.54,3.92
16,0.99,0.96,0.0,0.0,0.91,0.68,1.0,0.99,2.93,4.49
17,1.0,0.97,0.0,0.0,0.93,0.72,1.0,1.0,2.67,4.27
18,1.0,0.97,0.0,0.0,0.94,0.72,1.0,0.99,2.66,4.23
19,1.0,0.97,0.0,0.0,0.95,0.75,1.0,0.99,2.44,4.02
20,1.0,0.95,0.0,0.0,0.92,0.74,1.0,0.99,2.77,4.18
21,1.0,0.97,0.0,0.0,0.95,0.76,1.0,0.99,2.4,3.87
22,0.99,0.95,0.0,0.0,0.94,0.69,1.0,1.0,2.61,4.44
23,0.99,0.98,0.0,0.0,0.91,0.76,1.0,0.99,2.84,3.9
24,0.99,0.97,0.0,0.0,0.93,0.75,1.0,1.0,2.75,3.99
25,0.99,0.93,0.0,0.0,0.94,0.7,1.0,0.99,2.61,4.45
26,1.0,0.94,0.0,0.0,0.94,0.72,1.0,0.98,2.49,4.19
