epoch,tr_p10_acc,val_p10_acc,train_loss,val_loss,tr_p5_acc,val_p5_acc,tr_p15_acc,val_p15_acc,tr_p_error,val_p_error
0,0.76,0.8,0.01,0.01,0.4,0.4,0.9,0.96,7.47,7.06
1,0.95,0.95,0.0,0.0,0.69,0.67,0.99,0.99,4.65,4.8
2,0.97,0.96,0.0,0.0,0.78,0.65,0.99,1.0,4.15,4.75
3,0.97,0.96,0.0,0.0,0.77,0.69,0.99,1.0,4.21,4.47
4,0.98,0.97,0.0,0.0,0.85,0.72,0.99,1.0,3.63,4.43
5,0.99,0.97,0.0,0.0,0.86,0.75,0.99,1.0,3.51,4.05
6,0.99,0.91,0.0,0.0,0.88,0.64,1.0,0.99,3.42,5.29
7,0.99,0.96,0.0,0.0,0.88,0.75,1.0,0.99,3.28,4.15
8,0.99,0.97,0.0,0.0,0.9,0.75,1.0,1.0,3.19,4.12
9,0.99,0.97,0.0,0.0,0.88,0.68,1.0,1.0,3.34,4.51
10,0.99,0.98,0.0,0.0,0.88,0.7,1.0,1.0,3.33,4.26
11,0.99,0.97,0.0,0.0,0.89,0.69,1.0,1.0,3.19,4.6
12,1.0,0.98,0.0,0.0,0.93,0.71,1.0,1.0,2.84,3.99
13,0.99,0.97,0.0,0.0,0.93,0.71,1.0,1.0,2.88,4.22
14,0.99,0.97,0.0,0.0,0.91,0.74,1.0,1.0,3.01,3.96
15,1.0,0.96,0.0,0.0,0.93,0.73,1.0,1.0,2.73,4.17
16,0.99,0.98,0.0,0.0,0.93,0.75,1.0,1.0,2.88,4.06
17,1.0,0.92,0.0,0.0,0.93,0.62,1.0,1.0,2.81,4.75
18,0.99,0.98,0.0,0.0,0.9,0.77,1.0,1.0,3.02,3.97
19,1.0,0.99,0.0,0.0,0.93,0.74,1.0,1.0,2.79,3.94
20,1.0,0.99,0.0,0.0,0.94,0.75,1.0,1.0,2.64,3.91
21,1.0,0.96,0.0,0.0,0.93,0.68,1.0,1.0,2.83,4.28
22,1.0,0.97,0.0,0.0,0.94,0.71,1.0,1.0,2.62,4.03
23,1.0,0.98,0.0,0.0,0.95,0.77,1.0,1.0,2.61,3.89
24,1.0,0.98,0.0,0.0,0.94,0.77,1.0,1.0,2.69,3.83
25,1.0,0.95,0.0,0.0,0.94,0.64,1.0,1.0,2.66,4.7
26,0.99,0.95,0.0,0.0,0.93,0.66,1.0,1.0,2.84,4.65
27,1.0,0.98,0.0,0.0,0.94,0.72,1.0,1.0,2.68,4.07
28,1.0,0.98,0.0,0.0,0.93,0.72,1.0,1.0,2.74,4.19
29,0.99,0.99,0.0,0.0,0.92,0.75,1.0,1.0,2.96,4.0
30,1.0,0.98,0.0,0.0,0.95,0.76,1.0,1.0,2.58,3.96
31,1.0,0.97,0.0,0.0,0.95,0.7,1.0,1.0,2.58,4.19
32,1.0,0.95,0.0,0.0,0.94,0.67,1.0,1.0,2.63,4.56
33,0.99,0.98,0.0,0.0,0.92,0.76,1.0,1.0,2.89,3.8
34,1.0,0.98,0.0,0.0,0.95,0.76,1.0,1.0,2.43,3.78
35,1.0,0.96,0.0,0.0,0.94,0.72,1.0,1.0,2.62,4.04
36,1.0,0.98,0.0,0.0,0.96,0.73,1.0,1.0,2.43,4.11
37,0.99,0.98,0.0,0.0,0.93,0.74,1.0,1.0,2.7,3.92
38,0.99,0.98,0.0,0.0,0.94,0.78,1.0,1.0,2.7,3.79
39,1.0,0.96,0.0,0.0,0.96,0.74,1.0,1.0,2.47,3.89
40,1.0,0.98,0.0,0.0,0.95,0.74,1.0,1.0,2.48,3.9
41,1.0,0.96,0.0,0.0,0.95,0.69,1.0,1.0,2.53,4.24
42,1.0,0.98,0.0,0.0,0.95,0.7,1.0,1.0,2.47,3.96
43,1.0,0.97,0.0,0.0,0.96,0.71,1.0,1.0,2.3,4.11
44,1.0,0.98,0.0,0.0,0.96,0.73,1.0,1.0,2.33,4.02
45,1.0,0.94,0.0,0.0,0.97,0.65,1.0,1.0,2.28,4.64
46,1.0,0.95,0.0,0.0,0.94,0.75,1.0,1.0,2.66,4.01
